route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
A,ESP2_2,ESP2_A_2_5.A16,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_5.A17,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_5.A18,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_5.A19,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_5.A20,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_5.A21,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_5.A22,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_5.A23,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_5.A24,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_5.A25,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_5.A26,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_5.A27,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_5.A28,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_5.A29,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_5.A30,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_5.A31,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_5.A32,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_5.A032,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_5.A033,Reboleira,1,ESP2_shp_azul_sp-rb
B,ESP2_2,ESP2_B_2_4.B2,Odivelas,1,ESP2_shp_amarela_ra-od2
B,ESP2_2,ESP2_B_2_4.B3,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_4.B4,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_4.B5,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_4.B6,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_4.B7,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_4.B8,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_4.B9,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_4.B10,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_4.B11,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_4.B12,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_4.B13,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_4.B14,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_4.B15,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_4.B16,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_4.B17,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_4.B18,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_4.B19,Rato,0,ESP2_shp_amarela_od-ra
